inputId,Time difference
0,99
1,143
2,100
3,110
4,126
5,127
6,305
7,142
8,129
9,115
10,122
11,124
12,104
13,108
14,126
15,117
16,119
17,116
18,119
19,130
20,126
21,127
22,105
23,112
24,136
25,123
26,144
27,130
28,127
29,115
30,120
31,106
32,122
33,125
34,104
35,118
36,123
37,164
38,153
39,133
40,119
41,123
42,111
43,133
44,121
45,129
46,130
47,123
48,119
49,121
50,116
51,100
52,123
53,127
54,123
55,132
56,135
57,126
58,164
59,176
60,159
61,148
62,122
63,111
64,149
65,137
66,108
67,113
68,119
69,114
70,131
71,216
72,228
73,280
74,170
75,138
76,141
77,149
78,131
79,118
80,107
81,307
82,196
83,134
84,118
85,133
86,121
87,126
88,121
89,124
90,122
91,127
92,129
93,105
94,120
95,122
96,136
97,112
98,118
99,123
100,121
101,126
102,162
103,131
104,133
105,99
106,122
107,128
108,127
109,103
110,132
111,138
112,135
113,122
114,132
115,121
116,118
117,138
118,119
119,120
120,131
121,123
122,131
123,121
124,128
125,120
126,124
