inputId,Time difference
0,0
1,4
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,2
14,0
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,2
30,1
31,0
32,2
33,48
34,0
35,1
36,1
37,23
38,19
39,7
40,1
41,0
42,10
43,0
44,3
45,6
46,1
47,1
48,5
49,16
50,1
51,2
52,2
53,7
54,3
55,1
56,1
57,5
58,1
59,2
60,14
61,21
62,6
63,4
64,23
65,1
66,8
67,1
68,15
69,2
70,1
71,2
72,42
73,20
74,64
75,25
76,12
77,3
78,10
79,0
80,2
81,1
82,1
83,2
84,1
85,12
86,1
87,0
88,0
89,1
90,1
91,3
92,4
93,10
94,1
95,17
96,4
97,3
98,18
99,3
100,7
101,9
102,3
103,8
104,7
105,1
106,1
107,2
108,16
109,0
110,3
111,18
112,0
113,30
114,22
115,0
116,12
117,16
118,23
119,12
120,1
121,9
122,2
123,6
124,2
125,1
126,32
