inputId,Time difference
0,42
1,29
2,46
3,34
4,45
5,33
6,41
7,53
8,49
9,48
10,47
11,41
12,41
13,40
14,39
15,51
16,45
17,66
18,49
19,43
20,49
21,41
22,42
23,48
24,47
25,46
26,53
27,33
28,37
29,47
30,43
31,63
32,38
33,42
34,71
35,44
36,52
37,59
38,56
39,52
40,49
41,53
42,37
43,44
44,46
45,45
46,52
47,48
48,35
49,47
50,40
51,49
52,49
53,57
54,61
55,51
56,44
57,46
58,45
59,40
60,51
61,45
62,51
63,48
64,45
65,63
66,71
67,49
68,41
69,42
70,34
71,42
72,37
73,41
74,44
75,34
76,47
77,38
78,46
79,46
80,49
81,48
82,51
83,52
84,44
85,53
86,56
87,50
88,49
89,50
90,43
91,44
92,55
93,40
94,46
95,53
96,47
97,50
98,38
99,48
100,45
101,44
102,43
103,41
104,32
105,53
106,56
107,49
108,55
109,43
110,53
111,52
112,47
113,49
114,36
115,53
116,51
117,55
118,45
119,41
120,57
121,54
122,45
