inputId,Time difference
0,0
1,4
2,9
3,9
4,8
5,8
6,9
7,6
8,8
9,7
10,7
11,4
12,9
13,6
14,9
15,7
16,5
17,11
18,7
19,8
20,7
21,8
22,7
23,7
24,6
25,9
26,8
27,5
28,8
29,7
30,9
31,8
32,8
33,8
34,0
35,8
36,2
37,6
38,5
39,6
40,6
41,8
42,7
43,8
44,9
45,6
46,9
47,9
48,7
49,7
50,7
51,8
52,3
53,9
54,6
55,8
56,8
57,9
58,9
59,6
60,9
61,9
62,9
63,7
64,9
65,9
66,4
67,8
68,6
69,5
70,9
71,5
72,9
73,7
74,5
75,7
76,8
77,6
78,7
79,8
80,9
81,6
82,1
83,7
84,8
85,1
86,2
87,7
88,9
89,6
90,9
91,9
92,11
93,7
94,9
95,6
96,0
97,1
98,3
99,9
100,2
101,5
102,9
103,8
104,1
105,8
106,8
107,9
108,6
109,2
110,8
111,6
112,8
113,1
114,1
115,1
116,8
117,6
118,9
119,5
120,8
121,12
122,7
