inputId,Time difference
0,29
1,28
2,29
3,29
4,28
5,29
6,30
7,30
8,30
9,29
10,28
11,30
12,30
13,30
14,29
15,28
16,30
17,29
18,30
19,28
20,28
21,28
22,31
23,30
24,31
25,29
26,29
27,28
28,28
29,29
30,30
31,28
32,48
33,29
34,29
35,27
36,29
37,28
38,27
39,29
40,27
41,33
42,28
43,27
44,30
45,29
46,27
47,30
48,27
49,28
50,35
51,28
52,27
53,30
54,29
55,29
56,30
57,27
58,31
59,28
60,30
61,29
62,28
63,27
64,30
65,29
66,28
67,27
68,29
69,28
70,28
71,28
72,28
73,29
74,28
75,28
76,30
77,29
78,30
79,28
80,30
81,30
82,28
83,31
84,29
85,30
86,29
87,30
88,27
89,30
90,29
91,28
92,30
93,29
94,28
95,30
96,29
97,28
98,28
99,28
100,28
101,31
102,29
103,30
104,28
105,30
106,29
107,29
108,28
109,31
110,27
111,27
112,30
113,29
114,29
115,29
116,31
117,30
118,35
119,29
120,29
121,28
122,30
