inputId,Time difference
0,213
1,201
2,210
3,206
4,200
5,200
6,203
7,201
8,202
9,201
10,201
11,210
12,210
13,201
14,202
15,200
16,206
17,201
18,202
19,211
20,201
21,201
22,203
23,209
24,201
25,199
26,201
27,202
28,203
29,203
30,202
31,201
32,209
33,204
34,211
35,201
36,213
37,205
38,218
39,304
40,298
41,299
42,450
43,459
44,461
45,606
46,618
47,616
48,615
49,758
50,763
51,908
52,928
53,931
54,929
55,1072
56,927
57,918
58,931
59,921
60,1064
61,1075
62,1219
63,1239
64,1237
65,1382
66,1386
67,1393
68,1537
69,1557
70,1559
71,1704
72,1563
73,1559
74,1604
75,1601
76,1600
77,1606
78,1597
79,1600
80,1612
81,1609
82,1486
83,1635
84,1575
85,1723
86,1739
87,1749
88,1746
89,1888
90,1908
91,2050
92,2071
93,2063
94,2063
95,2202
96,2260
97,2307
98,2453
99,2472
100,2467
101,2473
102,2525
103,8644
104,9387
105,#NUM!
106,#NUM!
107,#NUM!
108,#NUM!
109,#NUM!
110,#NUM!
111,#NUM!
112,#NUM!
113,#NUM!
114,#NUM!
115,#NUM!
116,#NUM!
117,#NUM!
118,#NUM!
119,#NUM!
120,#NUM!
121,#NUM!
122,#NUM!
123,#NUM!
124,#NUM!
