inputId,Time difference
0,0
1,0
2,1
3,1
4,2
5,2
6,1
7,0
8,1
9,2
10,2
11,2
12,2
13,1
14,2
15,1
16,1
17,2
18,54
19,2
20,2
21,2
22,1
23,2
24,1
25,2
26,2
27,27
28,1
29,1
30,2
31,24
32,2
33,2
34,0
35,2
36,1
37,106
38,118
39,91
40,12
41,2
42,41
43,88
44,30
45,63
46,132
47,25
48,94
49,82
50,146
51,72
52,106
53,48
54,126
55,125
56,108
57,17
58,133
59,75
60,12
61,118
62,99
63,154
64,108
65,147
66,60
67,83
68,141
69,65
70,69
71,110
72,36
73,68
74,117
75,42
76,134
77,76
78,32
79,92
80,44
81,23
82,101
83,20
84,68
85,99
86,44
87,45
88,130
89,36
90,151
91,61
92,117
93,96
94,134
95,61
96,95
97,38
98,44
99,18
100,84
101,24
102,51
103,149
104,91
105,57
106,107
107,88
108,41
109,119
110,65
111,111
112,34
113,127
114,36
115,89
116,40
117,7
118,107
119,133
120,27
121,132
122,128
123,146
124,33
