inputId,Time difference
0,192
1,491
2,449
3,309
4,292
5,339
6,334
7,342
8,340
9,458
10,290
11,321
12,310
13,308
14,412
15,439
16,275
17,306
18,283
19,312
20,288
21,324
22,302
23,322
24,292
25,301
26,344
27,299
28,326
29,306
30,342
31,309
32,309
33,330
34,304
35,409
36,1053
37,1350
38,1449
39,1451
40,1769
41,1836
42,1861
43,1989
44,1974
45,2124
46,2210
47,2214
48,2144
49,2383
50,2453
51,2494
52,2544
53,2439
54,2421
55,2893
56,2872
57,2991
58,3266
59,3407
60,3389
61,3465
62,3474
63,3291
64,3291
65,3272
66,3536
67,3504
68,3588
69,3594
70,3888
71,3939
72,4402
73,4429
74,4716
75,4815
76,4857
77,5308
78,5450
79,5661
80,5595
81,5555
82,5743
83,5884
84,9775
85,9824
86,#NUM!
87,#NUM!
88,#NUM!
89,#NUM!
90,#NUM!
91,#NUM!
92,#NUM!
93,#NUM!
94,#NUM!
95,#NUM!
96,#NUM!
97,#NUM!
98,#NUM!
99,#NUM!
100,#NUM!
101,#NUM!
102,#NUM!
103,#NUM!
104,#NUM!
105,#NUM!
106,#NUM!
107,#NUM!
108,#NUM!
109,#NUM!
110,#NUM!
111,#NUM!
112,#NUM!
113,#NUM!
114,#NUM!
115,#NUM!
116,#NUM!
117,#NUM!
118,#NUM!
119,#NUM!
120,#NUM!
121,#NUM!
122,#NUM!
123,#NUM!
124,#NUM!
125,#NUM!
126,#NUM!
127,#NUM!
