inputId,Time difference
0,0
1,36
2,19
3,42
4,39
5,38
6,38
7,42
8,45
9,42
10,37
11,21
12,44
13,37
14,35
15,40
16,25
17,44
18,17
19,32
20,8
21,31
22,46
23,38
24,49
25,30
26,42
27,47
28,39
29,22
30,41
31,33
32,47
33,44
34,39
35,16
36,16
37,2
38,5
39,7
40,38
41,32
42,25
43,6
44,8
45,46
46,37
47,44
48,0
49,12
50,35
51,31
52,43
53,6
54,36
55,26
56,9
57,34
58,7
59,11
60,10
61,15
62,21
63,37
64,46
65,4
66,10
67,39
68,12
69,10
70,11
71,3
72,38
73,12
74,22
75,22
76,12
77,16
78,17
79,45
80,9
81,43
82,33
83,6
84,10
85,31
86,40
87,32
88,35
89,29
90,41
91,23
92,7
93,35
94,10
95,41
96,13
97,45
98,48
99,11
100,27
101,14
102,7
103,21
104,7
105,22
106,21
107,35
108,19
109,34
110,6
111,30
112,36
113,12
114,8
115,5
116,34
117,1
118,29
119,44
120,8
121,34
122,14
123,34
124,5
125,10
126,24
127,16
