inputId,Time difference
0,32
1,40
2,48
3,41
4,56
5,47
6,32
7,35
8,37
9,37
10,50
11,45
12,49
13,58
14,43
15,48
16,37
17,28
18,43
19,47
20,39
21,46
22,34
23,40
24,26
25,32
26,41
27,36
28,49
29,38
30,36
31,42
32,37
33,43
34,34
35,30
36,56
37,51
38,53
39,36
40,50
41,36
42,28
43,45
44,31
45,33
46,35
47,42
48,49
49,45
50,30
51,33
52,40
53,45
54,22
55,36
56,60
57,46
58,45
59,46
60,42
61,44
62,56
63,44
64,34
65,50
66,51
67,35
68,35
69,33
70,37
71,52
72,36
73,39
74,37
75,46
76,34
77,40
78,32
79,32
80,48
81,67
82,55
83,51
84,40
85,42
86,42
87,35
88,25
89,30
90,38
91,36
92,43
93,28
94,38
95,27
96,35
97,42
98,46
99,35
100,36
101,39
102,25
103,36
104,39
105,26
106,50
107,45
108,21
109,37
110,38
111,46
112,62
113,33
114,29
115,24
116,37
117,46
118,37
119,32
120,42
121,30
122,25
123,40
124,37
125,38
126,40
