inputId,Time difference
0,0
1,8
2,1
3,0
4,4
5,0
6,0
7,3
8,2
9,0
10,1
11,2
12,0
13,2
14,1
15,3
16,11
17,0
18,1
19,11
20,2
21,1
22,1
23,13
24,0
25,0
26,0
27,8
28,1
29,0
30,1
31,0
32,2
33,12
34,2
35,0
36,1
37,5
38,3
39,22
40,21
41,8
42,13
43,22
44,1
45,22
46,0
47,6
48,5
49,1
50,1
51,5
52,0
53,1
54,3
55,6
56,1
57,1
58,5
59,1
60,0
61,14
62,7
63,18
64,0
65,1
66,18
67,3
68,1
69,1
70,8
71,14
72,2
73,1
74,1
75,3
76,1
77,0
78,1
79,1
80,3
81,2
82,1
83,1
84,0
85,5
86,0
87,2
88,22
89,11
90,5
91,0
92,0
93,8
94,3
95,17
96,7
97,0
98,0
99,9
100,15
101,6
102,9
103,3
104,3
105,0
106,3
107,1
108,1
109,9
110,1
111,29
112,36
113,0
114,0
115,5
116,7
117,16
118,5
119,10
120,4
121,8
122,9
123,1
124,20
125,7
126,17
