inputId,Time difference
0,60
1,41
2,45
3,37
4,44
5,44
6,33
7,47
8,36
9,41
10,55
11,40
12,33
13,34
14,33
15,46
16,32
17,42
18,49
19,53
20,57
21,31
22,30
23,40
24,31
25,30
26,53
27,28
28,32
29,31
30,32
31,32
32,31
33,38
34,43
35,29
36,32
37,28
38,58
39,31
40,42
41,30
42,30
43,47
44,52
45,30
46,33
47,36
48,39
49,32
50,31
51,50
52,56
53,33
54,42
55,32
56,34
57,36
58,36
59,34
60,35
61,36
62,44
63,47
64,34
65,37
66,39
67,34
68,42
69,42
70,48
71,31
72,38
73,37
74,45
75,32
76,32
77,31
78,43
79,42
80,31
81,34
82,33
83,30
84,41
85,32
86,36
87,36
88,44
89,30
90,52
91,31
92,54
93,34
94,31
95,41
96,40
97,49
98,57
99,55
100,38
101,34
102,39
103,30
104,30
105,32
106,34
107,33
108,32
109,33
110,33
111,50
112,33
113,43
114,37
115,46
116,48
117,34
118,36
119,39
120,41
121,34
122,42
123,43
124,34
125,41
126,35
127,44
128,33
129,57
130,54
131,40
