inputId,Time difference
0,0
1,2
2,2
3,8
4,1
5,5
6,8
7,0
8,0
9,1
10,11
11,21
12,16
13,4
14,0
15,12
16,2
17,22
18,6
19,17
20,3
21,1
22,5
23,6
24,2
25,18
26,1
27,5
28,18
29,0
30,3
31,1
32,12
33,9
34,0
35,11
36,1
37,25
38,15
39,16
40,11
41,2
42,18
43,18
44,20
45,6
46,9
47,4
48,10
49,12
50,13
51,6
52,7
53,23
54,8
55,1
56,22
57,22
58,16
59,0
60,17
61,2
62,11
63,1
64,7
65,1
66,nan
67,2
68,21
69,5
70,2
71,6
72,14
73,1
74,34
75,18
76,4
77,20
78,7
79,1
80,15
81,1
82,19
83,24
84,6
85,8
86,18
87,19
88,4
89,4
90,6
91,6
92,5
93,0
94,8
95,17
96,1
97,10
98,18
99,24
100,24
101,19
102,1
103,1
104,2
105,20
106,4
107,21
108,22
109,17
110,2
111,19
112,0
113,0
114,8
115,7
116,0
117,3
118,21
119,18
120,0
121,5
122,14
123,10
124,14
125,22
126,4
127,0
128,19
129,20
130,19
131,3
