inputId,Time difference
0,28
1,655
2,83
3,40
4,67
5,39
6,15
7,3
8,31
9,1
10,13
11,15
12,5
13,44
14,44
15,18
16,16
17,26
18,13
19,49
20,12
21,20
22,6
23,77
24,44
25,20
26,35
27,27
28,16
29,3
30,16
31,9
32,7
33,15
34,14
35,603
36,638
37,761
38,817
39,826
40,908
41,920
42,1124
43,1188
44,1233
45,1248
46,1268
47,1271
48,1398
49,1463
50,1543
51,1459
52,1568
53,1617
54,1602
55,1692
56,1719
57,1707
58,1748
59,1872
60,1982
61,2032
62,2058
63,2181
64,2216
65,2190
66,2244
67,2414
68,2461
69,2566
70,2643
71,2635
72,2772
73,2723
74,2816
75,2948
76,2880
77,2822
78,2779
79,2778
80,2915
81,2878
82,2774
83,2844
84,2914
85,2863
86,2872
87,3036
88,3021
89,3060
90,3111
91,3146
92,3200
93,3286
94,3402
95,3467
96,3546
97,5502
98,6684
99,#NUM!
100,#NUM!
101,#NUM!
102,#NUM!
103,#NUM!
104,#NUM!
105,#NUM!
106,#NUM!
107,#NUM!
108,#NUM!
109,#NUM!
110,#NUM!
111,#NUM!
112,#NUM!
113,#NUM!
114,#NUM!
115,#NUM!
116,#NUM!
117,#NUM!
118,#NUM!
119,#NUM!
120,#NUM!
121,#NUM!
122,#NUM!
123,#NUM!
