inputId,Time difference
0,0
1,60
2,59
3,60
4,61
5,60
6,60
7,61
8,62
9,58
10,62
11,61
12,61
13,56
14,62
15,53
16,59
17,60
18,59
19,52
20,61
21,60
22,61
23,59
24,56
25,16
26,59
27,51
28,62
29,58
30,59
31,60
32,59
33,59
34,12
35,14
36,23
37,10
38,10
39,66
40,21
41,100
42,73
43,71
44,96
45,120
46,103
47,75
48,70
49,84
50,9
51,85
52,11
53,41
54,11
55,28
56,17
57,9
58,56
59,68
60,59
61,50
62,60
63,38
64,35
65,100
66,74
67,58
68,46
69,11
70,13
71,41
72,11
73,97
74,89
75,47
76,90
77,98
78,61
79,27
80,50
81,68
82,55
83,47
84,16
85,6
86,17
87,24
88,31
89,102
90,126
91,108
92,116
93,53
94,48
95,4
96,111
97,81
98,61
99,17
100,71
101,134
102,123
103,89
104,63
105,90
106,61
107,63
108,34
109,32
110,10
111,20
112,54
113,17
114,47
115,100
116,34
117,51
118,28
119,12
120,19
121,11
122,23
123,61
