inputId,Time difference
0,109
1,130
2,110
3,106
4,147
5,101
6,113
7,102
8,130
9,122
10,114
11,116
12,119
13,119
14,140
15,101
16,119
17,99
18,130
19,104
20,118
21,100
22,144
23,109
24,112
25,118
26,134
27,103
28,111
29,100
30,106
31,113
32,96
33,136
34,95
35,98
36,134
37,150
38,134
39,123
40,121
41,110
42,112
43,103
44,181
45,144
46,98
47,124
48,108
49,246
50,299
51,410
52,401
53,401
54,422
55,289
56,300
57,488
58,683
59,686
60,654
61,826
62,737
63,735
64,628
65,752
66,769
67,706
68,964
69,1026
70,1188
71,1037
72,1179
73,1228
74,1181
75,1119
76,1117
77,1258
78,1209
79,1245
80,1079
81,1047
82,1015
83,823
84,753
85,748
86,752
87,931
88,961
89,1206
90,1206
91,1191
92,1122
93,1056
94,1086
95,1019
96,872
97,909
98,848
99,725
100,630
101,599
102,713
103,757
104,797
105,836
106,781
107,800
108,687
109,642
110,601
111,607
112,616
113,773
114,774
115,1101
116,1345
117,1309
118,1400
119,1399
120,1693
121,7211
122,7048
123,#NUM!
124,#NUM!
125,#NUM!
126,#NUM!
