inputId,Time difference
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,2
10,0
11,0
12,0
13,0
14,1
15,2
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,10
34,0
35,5
36,1
37,0
38,11
39,15
40,14
41,1
42,0
43,2
44,18
45,1
46,0
47,3
48,5
49,1
50,5
51,15
52,1
53,1
54,6
55,1
56,1
57,2
58,17
59,16
60,49
61,18
62,37
63,46
64,78
65,37
66,28
67,19
68,6
69,34
70,1
71,1
72,20
73,17
74,1
75,2
76,1
77,6
78,1
79,2
80,0
81,8
82,2
83,1
84,0
85,0
86,28
87,5
88,43
89,9
90,3
91,1
92,16
93,1
94,1
95,5
96,32
97,2
98,12
99,1
100,1
101,3
102,7
103,16
104,0
105,5
106,0
107,1
108,0
109,0
110,8
111,18
112,15
113,30
114,22
115,5
116,3
117,4
118,1
119,2
120,4
121,1
122,1
123,14
124,0
125,11
126,1
