inputId,Time difference
0,48
1,30
2,45
3,32
4,51
5,39
6,37
7,49
8,62
9,48
10,62
11,40
12,46
13,51
14,31
15,47
16,44
17,31
18,40
19,40
20,54
21,53
22,51
23,62
24,56
25,31
26,43
27,53
28,53
29,38
30,20
31,51
32,44
33,76
34,51
35,56
36,49
37,48
38,47
39,27
40,42
41,43
42,61
43,78
44,57
45,45
46,54
47,52
48,32
49,49
50,31
51,55
52,62
53,55
54,79
55,52
56,44
57,46
58,49
59,72
60,29
61,50
62,69
63,28
64,26
65,50
66,59
67,54
68,39
69,46
70,21
71,35
72,43
73,48
74,31
75,57
76,47
77,47
78,43
79,43
80,22
81,37
82,98
83,70
84,38
85,28
86,47
87,44
88,37
89,38
90,67
91,34
92,39
93,38
94,47
95,37
96,46
97,31
98,42
99,77
100,55
101,45
102,42
103,47
104,48
105,44
106,45
107,46
108,64
109,43
110,33
111,56
112,45
113,37
114,49
115,35
116,49
117,34
118,43
119,50
120,28
121,24
122,44
