inputId,Time difference
0,0
1,0
2,0
3,1
4,0
5,0
6,3
7,0
8,0
9,0
10,2
11,1
12,0
13,7
14,2
15,1
16,3
17,0
18,0
19,0
20,8
21,9
22,6
23,1
24,1
25,5
26,5
27,1
28,1
29,1
30,24
31,1
32,10
33,1
34,0
35,1
36,6
37,1
38,0
39,0
40,1
41,0
42,3
43,4
44,2
45,0
46,18
47,6
48,2
49,6
50,11
51,5
52,2
53,4
54,7
55,9
56,7
57,8
58,0
59,0
60,16
61,9
62,0
63,21
64,15
65,14
66,12
67,1
68,1
69,4
70,0
71,7
72,1
73,2
74,18
75,3
76,1
77,2
78,3
79,2
80,1
81,7
82,0
83,5
84,1
85,9
86,1
87,0
88,6
89,1
90,1
91,2
92,5
93,12
94,31
95,1
96,0
97,0
98,7
99,4
100,0
101,2
102,22
103,8
104,7
105,2
106,0
107,16
108,6
109,11
110,13
111,1
112,1
113,22
114,1
115,2
116,0
117,1
118,10
119,27
120,4
121,11
122,0
