inputId,Time difference
0,28
1,29
2,31
3,30
4,28
5,28
6,29
7,31
8,30
9,30
10,29
11,31
12,30
13,30
14,30
15,31
16,27
17,28
18,31
19,28
20,30
21,31
22,30
23,30
24,29
25,30
26,30
27,30
28,29
29,30
30,28
31,28
32,30
33,31
34,29
35,30
36,30
37,28
38,30
39,27
40,28
41,28
42,30
43,29
44,31
45,30
46,28
47,30
48,29
49,29
50,30
51,28
52,42
53,29
54,32
55,28
56,29
57,28
58,28
59,28
60,29
61,29
62,42
63,32
64,29
65,29
66,28
67,30
68,30
69,28
70,28
71,28
72,30
73,28
74,32
75,28
76,31
77,29
78,29
79,29
80,31
81,30
82,29
83,29
84,27
85,28
86,26
87,27
88,27
89,29
90,29
91,27
92,29
93,29
94,28
95,30
96,28
97,30
98,35
99,29
100,30
101,29
102,29
103,27
104,28
105,29
106,28
107,29
108,27
109,29
110,29
111,29
112,29
113,29
114,29
115,31
116,27
117,28
118,27
119,29
120,27
121,30
122,28
123,27
124,43
125,28
126,29
127,28
128,29
129,29
130,29
131,30
132,29
133,30
134,30
135,29
