inputId,Time difference
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,4
42,0
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,4
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,4
59,8
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,3
78,1
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,6
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,5
135,1
