inputId,Time difference
0,56
1,557
2,728
3,326
4,295
5,259
6,313
7,373
8,297
9,311
10,298
11,312
12,323
13,309
14,341
15,325
16,332
17,358
18,324
19,311
20,386
21,373
22,346
23,357
24,323
25,274
26,261
27,275
28,261
29,269
30,276
31,325
32,427
33,335
34,176
35,132
36,8
37,54
38,205
39,205
40,358
41,368
42,522
43,523
44,521
45,371
46,524
47,522
48,524
49,676
50,686
51,841
52,686
53,840
54,851
55,842
56,1002
57,1022
58,1026
59,1178
60,1177
61,1329
62,1343
63,1332
64,1525
65,1524
66,1519
67,1517
68,1667
69,1725
70,1720
71,1752
72,1651
73,1837
74,1823
75,1818
76,1818
77,1679
78,1857
79,1724
80,1728
81,1693
82,1657
83,1808
84,1906
85,1901
86,2085
87,2142
88,2047
89,2010
90,1977
91,2132
92,2077
93,2230
94,2228
95,2233
96,2237
97,2390
98,2275
99,2236
100,2232
101,2425
102,2375
103,2366
104,2366
105,2358
106,2357
107,2353
108,5740
109,#NUM!
110,#NUM!
111,#NUM!
112,#NUM!
113,#NUM!
114,#NUM!
115,#NUM!
116,#NUM!
117,#NUM!
118,#NUM!
119,#NUM!
120,#NUM!
121,#NUM!
122,#NUM!
123,#NUM!
124,#NUM!
125,#NUM!
126,#NUM!
127,#NUM!
128,#NUM!
129,#NUM!
