inputId,Time difference
0,0
1,66
2,66
3,66
4,67
5,67
6,67
7,67
8,66
9,67
10,66
11,67
12,65
13,67
14,67
15,65
16,67
17,67
18,65
19,67
20,67
21,68
22,67
23,67
24,64
25,67
26,66
27,67
28,66
29,65
30,67
31,67
32,67
33,66
34,46
35,45
36,54
37,56
38,21
39,76
40,31
41,36
42,40
43,27
44,58
45,15
46,48
47,67
48,25
49,43
50,58
51,1
52,67
53,56
54,64
55,14
56,57
57,25
58,11
59,63
60,79
61,30
62,70
63,38
64,11
65,41
66,51
67,34
68,19
69,86
70,21
71,62
72,93
73,18
74,46
75,3
76,70
77,6
78,47
79,52
80,35
81,25
82,63
83,47
84,30
85,53
86,55
87,55
88,42
89,39
90,21
91,2
92,61
93,14
94,65
95,41
96,76
97,30
98,3
99,15
100,77
101,28
102,69
103,9
104,1
105,29
106,33
107,41
108,2
109,3
110,88
111,42
112,53
113,11
114,41
115,59
116,49
117,16
118,79
119,47
120,31
121,49
122,45
123,23
124,51
125,30
126,29
127,48
128,30
129,76
